,style_weight,epoch,total_loss,style_loss,content_loss
100,0.1,1,521556540.0,521556540.0,0.0
101,0.1,2,1439484000.0,1437406300.0,2077660.9
102,0.1,3,2015140200.0,2012529500.0,2610672.0
103,0.1,4,1193247600.0,1190807400.0,2440169.8
104,0.1,5,1009651460.0,1007127040.0,2524422.0
105,0.1,6,1024138600.0,1021558700.0,2579916.2
106,0.1,7,953873860.0,951306940.0,2566913.0
107,0.1,8,912890400.0,910327940.0,2562427.5
108,0.1,9,883630340.0,881051600.0,2578750.8
109,0.1,10,832063800.0,829467000.0,2596801.0
110,0.1,11,776347800.0,773738430.0,2609348.2
111,0.1,12,729768100.0,727147260.0,2620851.0
112,0.1,13,690226560.0,687596350.0,2630209.8
113,0.1,14,656413900.0,653777540.0,2636358.2
114,0.1,15,629626100.0,626987460.0,2638645.0
115,0.1,16,606298900.0,603654600.0,2644265.2
116,0.1,17,583958100.0,581305300.0,2652828.0
117,0.1,18,561627460.0,558966200.0,2661251.2
118,0.1,19,538375940.0,535708480.0,2667452.2
119,0.1,20,515927900.0,513253220.0,2674692.2
120,0.1,21,494861540.0,492179420.0,2682113.0
121,0.1,22,475252670.0,472563620.0,2689061.2
122,0.1,23,457567520.0,454873500.0,2694030.2
123,0.1,24,441561920.0,438862750.0,2699168.5
124,0.1,25,426503400.0,423800640.0,2702741.5
125,0.1,26,412461060.0,409755650.0,2705418.5
126,0.1,27,399040220.0,396332160.0,2708057.0
127,0.1,28,386086300.0,383375940.0,2710380.0
128,0.1,29,374090780.0,371378460.0,2712326.5
129,0.1,30,362738800.0,360023700.0,2715110.0
130,0.1,31,351707000.0,348988800.0,2718207.2
131,0.1,32,340717900.0,337995740.0,2722155.0
132,0.1,33,329801060.0,327075840.0,2725205.2
133,0.1,34,319151170.0,316423260.0,2727907.5
134,0.1,35,308983040.0,306252030.0,2731015.5
135,0.1,36,299696220.0,296962270.0,2733965.8
136,0.1,37,291234020.0,288496480.0,2737547.0
137,0.1,38,283422750.0,280680420.0,2742347.5
138,0.1,39,275896320.0,273149100.0,2747236.0
139,0.1,40,268564500.0,265812720.0,2751776.2
140,0.1,41,261362000.0,258605440.0,2756555.8
141,0.1,42,254390910.0,251630640.0,2760272.8
142,0.1,43,247553170.0,244789020.0,2764143.5
143,0.1,44,240889420.0,238121970.0,2767456.0
144,0.1,45,234495710.0,231726110.0,2769601.5
145,0.1,46,228175950.0,225405300.0,2770661.0
146,0.1,47,221998930.0,219229060.0,2769868.0
147,0.1,48,216033780.0,213264860.0,2768910.2
148,0.1,49,210384000.0,207617000.0,2767004.8
149,0.1,50,205017340.0,202252420.0,2764934.8
150,0.1,51,200003460.0,197239950.0,2763501.2
151,0.1,52,195320480.0,192558180.0,2762307.8
152,0.1,53,190859340.0,188098180.0,2761164.8
153,0.1,54,186593800.0,183832940.0,2760842.5
154,0.1,55,182413390.0,179651840.0,2761544.2
155,0.1,56,178194880.0,175432000.0,2762884.0
156,0.1,57,174015380.0,171250860.0,2764511.5
157,0.1,58,169951250.0,167185550.0,2765702.5
158,0.1,59,166095100.0,163327660.0,2767433.2
159,0.1,60,162431500.0,159661760.0,2769740.2
160,0.1,61,158864220.0,156093100.0,2771121.0
161,0.1,62,155297280.0,152525200.0,2772077.5
162,0.1,63,151795710.0,149022370.0,2773340.5
163,0.1,64,148332100.0,145557420.0,2774673.8
164,0.1,65,145027660.0,142252000.0,2775671.8
165,0.1,66,141901140.0,139124200.0,2776936.8
166,0.1,67,138885900.0,136107400.0,2778505.8
167,0.1,68,135995120.0,133215180.0,2779939.5
168,0.1,69,133213950.0,130432504.0,2781448.2
169,0.1,70,130500936.0,127717700.0,2783242.2
170,0.1,71,127895130.0,125109880.0,2785245.2
171,0.1,72,125388936.0,122602330.0,2786604.2
172,0.1,73,123018590.0,120230696.0,2787896.8
173,0.1,74,120783070.0,117993896.0,2789176.0
174,0.1,75,118568536.0,115777980.0,2790550.5
175,0.1,76,116375900.0,113583620.0,2792286.8
176,0.1,77,114280056.0,111485544.0,2794508.8
177,0.1,78,112261170.0,109464580.0,2796588.2
178,0.1,79,110246730.0,107447990.0,2798737.5
179,0.1,80,108248270.0,105447780.0,2800492.5
180,0.1,81,106282500.0,103480380.0,2802116.0
181,0.1,82,104325256.0,101521510.0,2803740.5
182,0.1,83,102417960.0,99612664.0,2805297.5
183,0.1,84,100544536.0,97737950.0,2806580.2
184,0.1,85,98725120.0,95917450.0,2807675.5
185,0.1,86,96962060.0,94153600.0,2808464.0
186,0.1,87,95283070.0,92473670.0,2809398.5
187,0.1,88,93668710.0,90858424.0,2810286.2
188,0.1,89,92099790.0,89288056.0,2811733.8
189,0.1,90,90588300.0,87775470.0,2812828.2
190,0.1,91,89135340.0,86321190.0,2814154.0
191,0.1,92,87709656.0,84894424.0,2815234.2
192,0.1,93,86281560.0,83465384.0,2816178.5
193,0.1,94,84857450.0,82040300.0,2817144.5
194,0.1,95,83412620.0,80594570.0,2818057.2
195,0.1,96,81970584.0,79151980.0,2818596.5
196,0.1,97,80545430.0,77726824.0,2818606.2
197,0.1,98,79154024.0,76335640.0,2818386.8
198,0.1,99,77811450.0,74993144.0,2818306.0
199,0.1,100,76500344.0,73682140.0,2818197.5
200,0.01,1,52155652.0,52155652.0,0.0
201,0.01,2,119634330.0,117613420.0,2020901.2
202,0.01,3,181726450.0,179141870.0,2584581.2
203,0.01,4,109648504.0,107267816.0,2380688.0
204,0.01,5,92882540.0,90426850.0,2455696.0
205,0.01,6,94883360.0,92374430.0,2508928.5
206,0.01,7,87979210.0,85491176.0,2488034.5
207,0.01,8,84460270.0,81980960.0,2479308.5
208,0.01,9,81817010.0,79321416.0,2495596.0
209,0.01,10,77298220.0,74778430.0,2519795.2
210,0.01,11,72750824.0,70212350.0,2538468.5
211,0.01,12,68647370.0,66095084.0,2552282.2
212,0.01,13,65058584.0,62493640.0,2564945.0
213,0.01,14,62230910.0,59660180.0,2570730.5
214,0.01,15,60057756.0,57480200.0,2577554.8
215,0.01,16,58108604.0,55523810.0,2584797.5
216,0.01,17,56121796.0,53529584.0,2592213.5
217,0.01,18,54017820.0,51418156.0,2599664.0
218,0.01,19,51802824.0,49197684.0,2605140.5
219,0.01,20,49666970.0,47059784.0,2607183.5
220,0.01,21,47653856.0,45046344.0,2607512.5
221,0.01,22,45835844.0,43231184.0,2604660.2
222,0.01,23,44176050.0,41574410.0,2601641.2
223,0.01,24,42695860.0,40096000.0,2599858.2
224,0.01,25,41331544.0,38731904.0,2599640.5
225,0.01,26,40028784.0,37427188.0,2601594.0
226,0.01,27,38748420.0,36143650.0,2604772.2
227,0.01,28,37468576.0,34860452.0,2608124.8
228,0.01,29,36225012.0,33615250.0,2609764.8
229,0.01,30,35050456.0,32438766.0,2611688.8
230,0.01,31,33967852.0,31353194.0,2614657.5
231,0.01,32,32948666.0,30331164.0,2617502.2
232,0.01,33,31986352.0,29367792.0,2618560.8
233,0.01,34,31071904.0,28453708.0,2618195.5
234,0.01,35,30202350.0,27584502.0,2617847.2
235,0.01,36,29362688.0,26746644.0,2616043.8
236,0.01,37,28548756.0,25934842.0,2613914.2
237,0.01,38,27767098.0,25156152.0,2610945.5
238,0.01,39,27025166.0,24416502.0,2608664.5
239,0.01,40,26305704.0,23698396.0,2607308.5
240,0.01,41,25614876.0,23008772.0,2606105.0
241,0.01,42,24948264.0,22344046.0,2604218.0
242,0.01,43,24304410.0,21702820.0,2601590.5
243,0.01,44,23693616.0,21095076.0,2598539.8
244,0.01,45,23097836.0,20502604.0,2595231.2
245,0.01,46,22536722.0,19944858.0,2591864.2
246,0.01,47,22005284.0,19416292.0,2588992.5
247,0.01,48,21497502.0,18911112.0,2586390.5
248,0.01,49,21009922.0,18426554.0,2583367.5
249,0.01,50,20538948.0,17958482.0,2580466.8
250,0.01,51,20095380.0,17517630.0,2577750.2
251,0.01,52,19692076.0,17117268.0,2574807.2
252,0.01,53,19316148.0,16744769.0,2571379.8
253,0.01,54,18946300.0,16378726.0,2567574.2
254,0.01,55,18582490.0,16018137.0,2564352.2
255,0.01,56,18226766.0,15665783.0,2560983.5
256,0.01,57,17879400.0,15321580.0,2557820.5
257,0.01,58,17540240.0,14984592.0,2555647.8
258,0.01,59,17214028.0,14659483.0,2554545.0
259,0.01,60,16891808.0,14338112.0,2553697.0
260,0.01,61,16568382.0,14015632.0,2552749.8
261,0.01,62,16245762.0,13694031.0,2551731.5
262,0.01,63,15928283.0,13377551.0,2550731.8
263,0.01,64,15615359.0,13066026.0,2549332.8
264,0.01,65,15311903.0,12764345.0,2547558.2
265,0.01,66,15018058.0,12472409.0,2545649.2
266,0.01,67,14738830.0,12195181.0,2543649.2
267,0.01,68,14476090.0,11934575.0,2541515.5
268,0.01,69,14225768.0,11686631.0,2539137.2
269,0.01,70,13985300.0,11447950.0,2537350.5
270,0.01,71,13757642.0,11221357.0,2536284.5
271,0.01,72,13547762.0,11012022.0,2535740.0
272,0.01,73,13345627.0,10810410.0,2535217.0
273,0.01,74,13144395.0,10609949.0,2534446.2
274,0.01,75,12945302.0,10412128.0,2533173.8
275,0.01,76,12747975.0,10216144.0,2531830.8
276,0.01,77,12554126.0,10024177.0,2529949.0
277,0.01,78,12369660.0,9841885.0,2527774.8
278,0.01,79,12189481.0,9664072.0,2525409.0
279,0.01,80,12011868.0,9488723.0,2523145.2
280,0.01,81,11835272.0,9314164.0,2521107.5
281,0.01,82,11655730.0,9136850.0,2518880.5
282,0.01,83,11481933.0,8965526.0,2516407.0
283,0.01,84,11314275.0,8800020.0,2514255.2
284,0.01,85,11155143.0,8643094.0,2512049.0
285,0.01,86,11005520.0,8495593.0,2509927.5
286,0.01,87,10860240.0,8352603.5,2507636.8
287,0.01,88,10718126.0,8213234.5,2504892.0
288,0.01,89,10576228.0,8074526.5,2501702.0
289,0.01,90,10433478.0,7935509.0,2497969.5
290,0.01,91,10287315.0,7793410.5,2493904.5
291,0.01,92,10145016.0,7655348.5,2489667.5
292,0.01,93,10004530.0,7519072.5,2485457.2
293,0.01,94,9869615.0,7388562.5,2481052.5
294,0.01,95,9735685.0,7258961.0,2476724.2
295,0.01,96,9607036.0,7134707.0,2472329.5
296,0.01,97,9482873.0,7015267.0,2467605.8
297,0.01,98,9363647.0,6900931.0,2462716.0
298,0.01,99,9248981.0,6791450.5,2457530.5
299,0.01,100,9137644.0,6685175.5,2452468.8
300,0.001,1,5215565.5,5215565.5,0.0
301,0.001,2,6991814.0,5279319.0,1712495.0
302,0.001,3,9720855.0,7674396.0,2046458.6
303,0.001,4,7024543.0,5316784.5,1707758.4
304,0.001,5,6250073.0,4465641.0,1784432.0
305,0.001,6,6307294.5,4603944.5,1703350.0
306,0.001,7,5857908.0,4275780.0,1582127.9
307,0.001,8,5658424.5,4146752.5,1511671.9
308,0.001,9,5496269.0,4019734.5,1476534.2
309,0.001,10,5238495.0,3786632.8,1451862.1
310,0.001,11,5011321.0,3594321.0,1416999.9
311,0.001,12,4812844.0,3426880.5,1385963.4
312,0.001,13,4612154.0,3258248.0,1353906.0
313,0.001,14,4450973.5,3128115.8,1322857.9
314,0.001,15,4325988.5,3030489.5,1295498.9
315,0.001,16,4206447.0,2938637.8,1267809.5
316,0.001,17,4078478.0,2835649.8,1242828.2
317,0.001,18,3950858.0,2729652.5,1221205.6
318,0.001,19,3822038.0,2620795.8,1201242.2
319,0.001,20,3697682.0,2517207.2,1180474.8
320,0.001,21,3583422.0,2424189.5,1159232.5
321,0.001,22,3481292.0,2342165.0,1139127.1
322,0.001,23,3388813.8,2267996.8,1120817.0
323,0.001,24,3300866.5,2196272.2,1104594.1
324,0.001,25,3213612.8,2123349.2,1090263.5
325,0.001,26,3124368.5,2048199.1,1076169.5
326,0.001,27,3035323.8,1973997.0,1061326.8
327,0.001,28,2948271.5,1901615.8,1046655.75
328,0.001,29,2865381.0,1832853.8,1032527.4
329,0.001,30,2788360.8,1769875.1,1018485.6
330,0.001,31,2717784.0,1712998.4,1004785.56
331,0.001,32,2653272.0,1660924.8,992347.4
332,0.001,33,2593121.2,1612197.1,980924.1
333,0.001,34,2534426.5,1563647.9,970778.5
334,0.001,35,2474473.2,1513994.9,960478.3
335,0.001,36,2414998.2,1464891.9,950106.4
336,0.001,37,2357563.0,1418158.8,939404.3
337,0.001,38,2303147.8,1374615.1,928532.6
338,0.001,39,2253307.0,1334631.5,918675.56
339,0.001,40,2206607.0,1297843.2,908763.9
340,0.001,41,2161796.0,1263383.8,898412.3
341,0.001,42,2117809.2,1229787.0,888022.25
342,0.001,43,2074931.5,1197655.8,877275.8
343,0.001,44,2033513.6,1166577.9,866935.75
344,0.001,45,1993450.0,1135359.8,858090.25
345,0.001,46,1954334.1,1103898.5,850435.6
346,0.001,47,1915940.6,1073157.1,842783.5
347,0.001,48,1878847.5,1044120.25,834727.3
348,0.001,49,1843703.9,1017291.5,826412.4
349,0.001,50,1811492.9,993020.9,818472.0
350,0.001,51,1782011.9,971297.8,810714.06
351,0.001,52,1754594.6,950785.56,803809.06
352,0.001,53,1727808.4,930667.56,797140.8
353,0.001,54,1700502.4,909894.94,790607.44
